"mag_id","cluster","ORF","KO","description","B","C","COG_category","CAZy"
"L001_bin.17","Group 3","L001_bin.17_336999_6","K12373","hexosaminidase","Carbohydrate metabolism"," Amino sugar and nucleotide sugar metabolism","G","GH20"
"L001_bin.17","Group 3","L001_bin.17_400569_1","K21574","glucan 1,4-alpha-glucosidase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH31,GH97"
"L001_bin.17","Group 3","L001_bin.17_5174_3","K00705","4-alpha-glucanotransferase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH77"
"L001_bin.17","Group 3","L001_bin.17_75304_2","K00700","1,4-alpha-glucan branching enzyme","Carbohydrate metabolism"," Starch and sucrose metabolism","G","CBM48,GH13"
"L001_bin.19","Group 1","L001_bin.19_247947_3","K00705","4-alpha-glucanotransferase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH77"
"L001_bin.19","Group 1","L001_bin.19_410787_1","K00700","1,4-alpha-glucan branching enzyme","Carbohydrate metabolism"," Starch and sucrose metabolism","G","CBM48,GH13"
"L001_bin.20","Group 3","L001_bin.20_113025_13","K00700","1,4-alpha-glucan branching enzyme","Carbohydrate metabolism"," Starch and sucrose metabolism","G","CBM48,GH13"
"L001_bin.20","Group 3","L001_bin.20_117594_27","K12373","hexosaminidase","Carbohydrate metabolism"," Amino sugar and nucleotide sugar metabolism","G","GH20"
"L001_bin.20","Group 3","L001_bin.20_13280_25","K17108","non-lysosomal glucosylceramidase","Lipid metabolism"," Sphingolipid metabolism","G","GH116"
"L001_bin.20","Group 3","L001_bin.20_180888_1","K00688","glycogen phosphorylase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH65,GT3,GT35"
"L001_bin.20","Group 3","L001_bin.20_232239_4","K22934","alpha,alpha-trehalase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH15"
"L001_bin.20","Group 3","L001_bin.20_264319_10","K00705","4-alpha-glucanotransferase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH77"
"L001_bin.20","Group 3","L001_bin.20_304732_2","K07405","alpha-amylase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH57"
"L001_bin.2","Group 1","L001_bin.2_165177_26","K00705","4-alpha-glucanotransferase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH77"
"L001_bin.2","Group 1","L001_bin.2_415626_6","K00700","1,4-alpha-glucan branching enzyme","Carbohydrate metabolism"," Starch and sucrose metabolism","G","CBM48,GH13"
"L001_bin.2","Group 1","L001_bin.2_417615_10","K05349","beta-glucosidase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH3"
"L001_bin.2","Group 1","L001_bin.2_48669_1","K01176","malS; alpha-amylase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH13"
"L001_bin.3","Group 3","L001_bin.3_141977_17","K00700","1,4-alpha-glucan branching enzyme","Carbohydrate metabolism"," Starch and sucrose metabolism","G","CBM48,GH13"
"L001_bin.3","Group 3","L001_bin.3_150103_1","K05349","beta-glucosidase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH3"
"L001_bin.3","Group 3","L001_bin.3_172453_22","K01209","alpha-L-arabinofuranosidase","Carbohydrate metabolism"," Amino sugar and nucleotide sugar metabolism","G","GH51"
"L001_bin.3","Group 3","L001_bin.3_172453_9","K15921","arabinoxylan arabinofuranohydrolase","Carbohydrate metabolism"," Amino sugar and nucleotide sugar metabolism","G","CBM6,GH43"
"L001_bin.3","Group 3","L001_bin.3_237236_30","K10804","acyl-CoA thioesterase I","Lipid metabolism"," Biosynthesis of unsaturated fatty acids","G","GH95"
"L001_bin.3","Group 3","L001_bin.3_280612_1","K00688","glycogen phosphorylase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH65,GT3,GT35"
"L001_bin.3","Group 3","L001_bin.3_297637_13","K01198","xylan 1,4-beta-xylosidase","Carbohydrate metabolism"," Amino sugar and nucleotide sugar metabolism","G","CBM6,GH43"
"L001_bin.3","Group 3","L001_bin.3_326474_16","K00705","4-alpha-glucanotransferase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH77"
"L001_bin.3","Group 3","L001_bin.3_43153_9","K07405","alpha-amylase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH57"
"L001_bin.6","Group 3","L001_bin.6_117863_3","K00700","1,4-alpha-glucan branching enzyme","Carbohydrate metabolism"," Starch and sucrose metabolism","G","CBM48,GH13"
"L001_bin.6","Group 3","L001_bin.6_131706_3","K12373","hexosaminidase","Carbohydrate metabolism"," Amino sugar and nucleotide sugar metabolism","S","GH20"
"L001_bin.6","Group 3","L001_bin.6_248576_1","K01209","alpha-L-arabinofuranosidase","Carbohydrate metabolism"," Amino sugar and nucleotide sugar metabolism","G","GH51"
"L001_bin.6","Group 3","L001_bin.6_456832_5","K00703","starch synthase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH13,GT5"
"L001_bin.7","Group 1","L001_bin.7_363916_18","K00705","4-alpha-glucanotransferase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH77"
"L001_bin.7","Group 1","L001_bin.7_363916_19","K00700","1,4-alpha-glucan branching enzyme","Carbohydrate metabolism"," Starch and sucrose metabolism","G","CBM48,GH13"
"L003_bin.19","Group 1","L003_bin.19_100894_3","K05349","beta-glucosidase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH3"
"L003_bin.19","Group 1","L003_bin.19_180624_5","K00705","4-alpha-glucanotransferase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH77"
"L003_bin.19","Group 1","L003_bin.19_263765_9","K00700","1,4-alpha-glucan branching enzyme","Carbohydrate metabolism"," Starch and sucrose metabolism","G","CBM48,GH13"
"L003_bin.19","Group 1","L003_bin.19_532555_7","K01176","malS; alpha-amylase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH13"
"L003_bin.22","Group 1","L003_bin.22_447399_3","K16150","glycogen synthase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH57,GT4"
"L003_bin.22","Group 1","L003_bin.22_447399_4","K07405","alpha-amylase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH57"
"L003_bin.25","Group 3","L003_bin.25_160300_1","K22268","xylan 1,4-beta-xylosidase","Carbohydrate metabolism"," Amino sugar and nucleotide sugar metabolism","NU","GH52"
"L003_bin.25","Group 3","L003_bin.25_176996_2","K05349","beta-glucosidase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH3"
"L003_bin.25","Group 3","L003_bin.25_204751_5","K01218","mannan endo-1,4-beta-mannosidase","Carbohydrate metabolism"," Fructose and mannose metabolism","G","GH26"
"L003_bin.25","Group 3","L003_bin.25_23688_9","K01179","endoglucanase","Carbohydrate metabolism"," Starch and sucrose metabolism","S","GH5,GH9"
"L003_bin.25","Group 3","L003_bin.25_256752_3","K01209","alpha-L-arabinofuranosidase","Carbohydrate metabolism"," Amino sugar and nucleotide sugar metabolism","G","GH51"
"L003_bin.25","Group 3","L003_bin.25_313056_3","K00702","cellobiose phosphorylase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH94,GT36,GT84"
"L003_bin.25","Group 3","L003_bin.25_321087_5","K01200","pullulanase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","CBM48,GH13"
"L003_bin.25","Group 3","L003_bin.25_389206_10","K00690","sucrose phosphorylase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH13"
"L003_bin.25","Group 3","L003_bin.25_8099_1","K19355","mannan endo-1,4-beta-mannosidase","Carbohydrate metabolism"," Fructose and mannose metabolism","G","GH5,GH9"
"L003_bin.29","Group 3","L003_bin.29_113225_16","K01209","alpha-L-arabinofuranosidase","Carbohydrate metabolism"," Amino sugar and nucleotide sugar metabolism","G","GH51"
"L003_bin.29","Group 3","L003_bin.29_129451_30","K05349","beta-glucosidase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH3"
"L003_bin.29","Group 3","L003_bin.29_151679_19","K07405","alpha-amylase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH57"
"L003_bin.29","Group 3","L003_bin.29_151679_20","K00688","glycogen phosphorylase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH65,GT3,GT35"
"L003_bin.29","Group 3","L003_bin.29_465544_8","K00700","1,4-alpha-glucan branching enzyme","Carbohydrate metabolism"," Starch and sucrose metabolism","G","CBM48,GH13"
"L003_bin.29","Group 3","L003_bin.29_531002_4","K01198","xylan 1,4-beta-xylosidase","Carbohydrate metabolism"," Amino sugar and nucleotide sugar metabolism","G","CBM6,GH43"
"L003_bin.29","Group 3","L003_bin.29_91807_40","K00705","4-alpha-glucanotransferase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH77"
"L003_bin.31","Group 3","L003_bin.31_113071_4","K01201","glucosylceramidase","Lipid metabolism"," Sphingolipid metabolism","G","GH30"
"L003_bin.31","Group 3","L003_bin.31_210928_3","K00705","4-alpha-glucanotransferase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH77"
"L003_bin.31","Group 3","L003_bin.31_28870_33","K00700","1,4-alpha-glucan branching enzyme","Carbohydrate metabolism"," Starch and sucrose metabolism","G","CBM48,GH13"
"L003_bin.31","Group 3","L003_bin.31_299210_8","K12373","hexosaminidase","Carbohydrate metabolism"," Amino sugar and nucleotide sugar metabolism","G","GH20"
"L003_bin.31","Group 3","L003_bin.31_325539_9","K01186","sialidase-1","Lipid metabolism"," Sphingolipid metabolism","G","GH33"
"L003_bin.31","Group 3","L003_bin.31_355625_6","K05349","beta-glucosidase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH3"
"L003_bin.31","Group 3","L003_bin.31_411219_1","K07405","alpha-amylase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH57"
"L003_bin.31","Group 3","L003_bin.31_550472_12","K05343","maltose alpha-D-glucosyltransferase / alpha-amylase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH13"
"L003_bin.31","Group 3","L003_bin.31_586909_29","K01187","alpha-glucosidase","Carbohydrate metabolism"," Galactose metabolism","G","GH31"
"L003_bin.31","Group 3","L003_bin.31_7992_2","K00688","glycogen phosphorylase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH65,GT3,GT35"
"L003_bin.3","Group 5","L003_bin.3_134620_1","K01209","alpha-L-arabinofuranosidase","Carbohydrate metabolism"," Amino sugar and nucleotide sugar metabolism","G","GH51"
"L003_bin.3","Group 5","L003_bin.3_152077_3","K00702","cellobiose phosphorylase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH94,GT36,GT84"
"L003_bin.3","Group 5","L003_bin.3_153733_3","K16147","starch synthase (maltosyl-transferring)","Carbohydrate metabolism"," Starch and sucrose metabolism","G","CBM48,GH13"
"L003_bin.3","Group 5","L003_bin.3_221224_1","K01179","endoglucanase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH5,GH9"
"L003_bin.3","Group 5","L003_bin.3_229670_1","K01218","mannan endo-1,4-beta-mannosidase","Carbohydrate metabolism"," Fructose and mannose metabolism","G","GH26"
"L003_bin.3","Group 5","L003_bin.3_285393_6","K05343","maltose alpha-D-glucosyltransferase / alpha-amylase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH13"
"L003_bin.3","Group 5","L003_bin.3_344733_5","K00705","4-alpha-glucanotransferase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","CBM48,GH13,GH77"
"L003_bin.3","Group 5","L003_bin.3_377104_3","K01236","maltooligosyltrehalose trehalohydrolase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","CBM48,GH13"
"L003_bin.3","Group 5","L003_bin.3_420496_8","K01051","pectinesterase","Carbohydrate metabolism"," Pentose and glucuronate interconversions","M","GH28"
"L003_bin.3","Group 5","L003_bin.3_454908_4","K00700","1,4-alpha-glucan branching enzyme","Carbohydrate metabolism"," Starch and sucrose metabolism","G","CBM48,GH13"
"L003_bin.3","Group 5","L003_bin.3_518976_8","K16149","1,4-alpha-glucan branching enzyme","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH57"
"L003_bin.3","Group 5","L003_bin.3_555450_2","K15921","arabinoxylan arabinofuranohydrolase","Carbohydrate metabolism"," Amino sugar and nucleotide sugar metabolism","G","CBM6,GH43"
"L003_bin.3","Group 5","L003_bin.3_578346_1","K22268","xylan 1,4-beta-xylosidase","Carbohydrate metabolism"," Amino sugar and nucleotide sugar metabolism","NU","GH52"
"L003_bin.3","Group 5","L003_bin.3_86510_1","K06044","(1->4)-alpha-D-glucan 1-alpha-D-glucosylmutase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH13"
"L003_bin.3","Group 5","L003_bin.3_91919_5","K07407","rafA; alpha-galactosidase","Carbohydrate metabolism"," Galactose metabolism","G","GH5,GH9"
"L003_bin.7","Group 3","L003_bin.7_155533_2","K01209","alpha-L-arabinofuranosidase","Carbohydrate metabolism"," Amino sugar and nucleotide sugar metabolism","G","GH51"
"L003_bin.7","Group 3","L003_bin.7_175238_22","K12373","hexosaminidase","Carbohydrate metabolism"," Amino sugar and nucleotide sugar metabolism","G","GH20"
"L003_bin.7","Group 3","L003_bin.7_208871_1","K05349","beta-glucosidase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH3"
"L003_bin.7","Group 3","L003_bin.7_270222_3","K01201","glucosylceramidase","Lipid metabolism"," Sphingolipid metabolism","M","GH30"
"L003_bin.7","Group 3","L003_bin.7_288979_9","K01198","xylan 1,4-beta-xylosidase","Carbohydrate metabolism"," Amino sugar and nucleotide sugar metabolism","G","GH43,GH51"
"L003_bin.7","Group 3","L003_bin.7_36462_1","K00688","glycogen phosphorylase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH65,GT3,GT35"
"L003_bin.7","Group 3","L003_bin.7_507767_7","K07405","alpha-amylase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH57"
"L003_bin.7","Group 3","L003_bin.7_522432_4","K22934","alpha,alpha-trehalase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH15"
"L003_bin.7","Group 3","L003_bin.7_583269_2","K00705","4-alpha-glucanotransferase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH77"
"L003_bin.9","Group 3","L003_bin.9_105760_6","K00705","4-alpha-glucanotransferase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH77"
"L003_bin.9","Group 3","L003_bin.9_141311_1","K01183","chitinase","Carbohydrate metabolism"," Amino sugar and nucleotide sugar metabolism","G","GH18"
"L003_bin.9","Group 3","L003_bin.9_142863_1","K05349","beta-glucosidase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH3"
"L003_bin.9","Group 3","L003_bin.9_179613_1","K07405","alpha-amylase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH57"
"L003_bin.9","Group 3","L003_bin.9_179613_4","K00700","1,4-alpha-glucan branching enzyme","Carbohydrate metabolism"," Starch and sucrose metabolism","G","CBM48,GH13"
"L003_bin.9","Group 3","L003_bin.9_322764_1","K01179","endoglucanase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH5,GH9"
"L003_bin.9","Group 3","L003_bin.9_519545_15","K01209","alpha-L-arabinofuranosidase","Carbohydrate metabolism"," Amino sugar and nucleotide sugar metabolism","G","GH51"
"L003_bin.9","Group 3","L003_bin.9_539759_1","K00688","glycogen phosphorylase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH65,GT3,GT35"
"L003_bin.9","Group 3","L003_bin.9_581750_1","K12373","hexosaminidase","Carbohydrate metabolism"," Amino sugar and nucleotide sugar metabolism","G","GH20"
"L003_bin.9","Group 3","L003_bin.9_61219_2","K01187","alpha-glucosidase","Carbohydrate metabolism"," Galactose metabolism","G","GH31"
"L004_bin.13","Group 3","L004_bin.13_112326_1","K01218","mannan endo-1,4-beta-mannosidase","Carbohydrate metabolism"," Fructose and mannose metabolism","G","GH26"
"L004_bin.13","Group 3","L004_bin.13_112326_9","K05349","beta-glucosidase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH3"
"L004_bin.13","Group 3","L004_bin.13_114644_5","K12373","hexosaminidase","Carbohydrate metabolism"," Amino sugar and nucleotide sugar metabolism","G","GH20"
"L004_bin.13","Group 3","L004_bin.13_133550_11","K01186","sialidase-1","Lipid metabolism"," Sphingolipid metabolism","G","GH33"
"L004_bin.13","Group 3","L004_bin.13_193562_9","K00705","4-alpha-glucanotransferase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH77"
"L004_bin.13","Group 3","L004_bin.13_248657_2","K01183","chitinase","Carbohydrate metabolism"," Amino sugar and nucleotide sugar metabolism","G","GH18"
"L004_bin.13","Group 3","L004_bin.13_437445_5","K00688","glycogen phosphorylase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH65,GT35"
"L004_bin.13","Group 3","L004_bin.13_514553_10","K00700","1,4-alpha-glucan branching enzyme","Carbohydrate metabolism"," Starch and sucrose metabolism","G","CBM48,GH13"
"L004_bin.13","Group 3","L004_bin.13_70752_3","K01179","endoglucanase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH5,GH9"
"L004_bin.16","Group 3","L004_bin.16_116531_4","K07405","alpha-amylase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH57"
"L004_bin.16","Group 3","L004_bin.16_270614_20","K01176","malS; alpha-amylase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH13"
"L004_bin.16","Group 3","L004_bin.16_95071_10","K01187","alpha-glucosidase","Carbohydrate metabolism"," Galactose metabolism","G","GH31"
"L004_bin.4","Group 4","L004_bin.4_309415_14","K05349","beta-glucosidase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH3"
"L004_bin.4","Group 4","L004_bin.4_397278_4","K01210","glucan 1,3-beta-glucosidase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH5,GH9"
"L005_bin.1","Group 3","L005_bin.1_209287_14","K17108","non-lysosomal glucosylceramidase","Lipid metabolism"," Sphingolipid metabolism","G","GH116"
"L005_bin.1","Group 3","L005_bin.1_217241_16","K01183","chitinase","Carbohydrate metabolism"," Amino sugar and nucleotide sugar metabolism","G","GH18"
"L005_bin.1","Group 3","L005_bin.1_217241_19","K12373","hexosaminidase","Carbohydrate metabolism"," Amino sugar and nucleotide sugar metabolism","G","GH20"
"L005_bin.1","Group 3","L005_bin.1_259567_13","K00705","4-alpha-glucanotransferase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH77"
"L005_bin.1","Group 3","L005_bin.1_393144_2","K01202","galactosylceramidase","Lipid metabolism"," Sphingolipid metabolism","M","GH59"
"L005_bin.1","Group 3","L005_bin.1_43937_2","K00700","1,4-alpha-glucan branching enzyme","Carbohydrate metabolism"," Starch and sucrose metabolism","G","CBM48,GH13"
"L005_bin.1","Group 3","L005_bin.1_496125_10","K00688","glycogen phosphorylase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH65,GT35"
"L005_bin.1","Group 3","L005_bin.1_55876_16","K01186","sialidase-1","Lipid metabolism"," Sphingolipid metabolism","G","GH33"
"L005_bin.3","Group 3","L005_bin.3_207762_2","K01183","chitinase","Carbohydrate metabolism"," Amino sugar and nucleotide sugar metabolism","G","GH18"
"L005_bin.7","Group 4","L005_bin.7_11800_1","K01207","beta-N-acetylhexosaminidase","Carbohydrate metabolism"," Amino sugar and nucleotide sugar metabolism","G","GH3"
"L005_bin.7","Group 4","L005_bin.7_178816_4","K01187","alpha-glucosidase","Carbohydrate metabolism"," Galactose metabolism","G","GH31"
"L005_bin.7","Group 4","L005_bin.7_472013_1","K01070","fghA; S-formylglutathione hydrolase","Energy metabolism"," Methane metabolism","S","CE1"
"L036_bin.10","Group 5","L036_bin.10_223001_2","K00700","1,4-alpha-glucan branching enzyme","Carbohydrate metabolism"," Starch and sucrose metabolism","G","CBM48,GH13"
"L036_bin.10","Group 5","L036_bin.10_225825_12","K00705","4-alpha-glucanotransferase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH77"
"L036_bin.10","Group 5","L036_bin.10_282995_1","K01209","alpha-L-arabinofuranosidase","Carbohydrate metabolism"," Amino sugar and nucleotide sugar metabolism","G","GH51"
"L036_bin.11","Group 1","L036_bin.11_105749_2","K16149","1,4-alpha-glucan branching enzyme","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH57"
"L036_bin.11","Group 1","L036_bin.11_161473_3","K01179","endoglucanase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH5,GH9"
"L036_bin.11","Group 1","L036_bin.11_192501_1","K00705","4-alpha-glucanotransferase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH77"
"L036_bin.17","Group 1","L036_bin.17_126285_11","K05342","alpha,alpha-trehalose phosphorylase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH65"
"L036_bin.17","Group 1","L036_bin.17_126285_28","K01187","alpha-glucosidase","Carbohydrate metabolism"," Galactose metabolism","G","GH13"
"L036_bin.17","Group 1","L036_bin.17_126285_7","K05341","amylosucrase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH13"
"L036_bin.17","Group 1","L036_bin.17_12676_38","K01209","alpha-L-arabinofuranosidase","Carbohydrate metabolism"," Amino sugar and nucleotide sugar metabolism","G","GH51"
"L036_bin.17","Group 1","L036_bin.17_13845_6","K00700","1,4-alpha-glucan branching enzyme","Carbohydrate metabolism"," Starch and sucrose metabolism","G","CBM48,GH13"
"L036_bin.17","Group 1","L036_bin.17_202341_8","K01193","beta-fructofuranosidase","Carbohydrate metabolism"," Galactose metabolism","G","GH32"
"L036_bin.17","Group 1","L036_bin.17_225737_21","K05349","beta-glucosidase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH3"
"L036_bin.17","Group 1","L036_bin.17_317377_6","K18675","N,N'-diacetylchitobiose phosphorylase","Carbohydrate metabolism"," Amino sugar and nucleotide sugar metabolism","G","GH94"
"L036_bin.17","Group 1","L036_bin.17_321405_12","K00705","4-alpha-glucanotransferase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH77"
"L036_bin.17","Group 1","L036_bin.17_321474_8","K01198","xylan 1,4-beta-xylosidase","Carbohydrate metabolism"," Amino sugar and nucleotide sugar metabolism","G","GH43,GH51"
"L036_bin.17","Group 1","L036_bin.17_367999_3","K01214","isoamylase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","CBM48,GH13"
"L036_bin.17","Group 1","L036_bin.17_433053_26","K12373","hexosaminidase","Carbohydrate metabolism"," Amino sugar and nucleotide sugar metabolism","G","GH20"
"L036_bin.17","Group 1","L036_bin.17_76071_30","K01186","sialidase-1","Lipid metabolism"," Sphingolipid metabolism","G","GH33"
"L036_bin.19","Group 1","L036_bin.19_284932_10","K00705","4-alpha-glucanotransferase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH77"
"L036_bin.19","Group 1","L036_bin.19_284932_9","K00700","1,4-alpha-glucan branching enzyme","Carbohydrate metabolism"," Starch and sucrose metabolism","G","CBM48,GH13"
"L036_bin.1","Group 5","L036_bin.1_123026_3","K05343","maltose alpha-D-glucosyltransferase / alpha-amylase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH13"
"L036_bin.1","Group 5","L036_bin.1_162014_23","K00700","1,4-alpha-glucan branching enzyme","Carbohydrate metabolism"," Starch and sucrose metabolism","G","CBM48,GH13"
"L036_bin.1","Group 5","L036_bin.1_323362_14","K00705","4-alpha-glucanotransferase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH77"
"L036_bin.20","Group 1","L036_bin.20_101099_2","K01193","beta-fructofuranosidase","Carbohydrate metabolism"," Galactose metabolism","G","GH32"
"L036_bin.20","Group 1","L036_bin.20_156274_17","K01226","trehalose-6-phosphate hydrolase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH13"
"L036_bin.20","Group 1","L036_bin.20_159019_4","K00691","maltose phosphorylase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH65"
"L036_bin.20","Group 1","L036_bin.20_180304_5","K01208","nplT; cyclomaltodextrinase / maltogenic alpha-amylase / neopullulanase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH13"
